1	0	0	<sos>	None	None	None	None	None	None	None
2	=	1	0	None	None	None	None	None	None	None
3	\int	2	=	None	None	None	None	None	None	None
4	struct	3	\int	None	None	sub	sup	None	None	right
5	a	4	sub	None	None	None	None	None	None	None
6	<eos>	5	a	None	None	None	None	None	None	None
7	a	4	sup	None	None	None	None	None	None	None
8	<eos>	7	a	None	None	None	None	None	None	None
9	f	4	right	None	None	None	None	None	None	None
10	(	9	f	None	None	None	None	None	None	None
11	x	10	(	None	None	None	None	None	None	None
12	)	11	x	None	None	None	None	None	None	None
13	d	12	)	None	None	None	None	None	None	None
14	x	13	d	None	None	None	None	None	None	None
15	=	14	x	None	None	None	None	None	None	None
16	\int	15	=	None	None	None	None	None	None	None
17	struct	16	\int	None	None	sub	sup	None	None	right
18	a	17	sub	None	None	None	None	None	None	None
19	<eos>	18	a	None	None	None	None	None	None	None
20	c	17	sup	None	None	None	None	None	None	None
21	<eos>	20	c	None	None	None	None	None	None	None
22	f	17	right	None	None	None	None	None	None	None
23	(	22	f	None	None	None	None	None	None	None
24	x	23	(	None	None	None	None	None	None	None
25	)	24	x	None	None	None	None	None	None	None
26	d	25	)	None	None	None	None	None	None	None
27	x	26	d	None	None	None	None	None	None	None
28	+	27	x	None	None	None	None	None	None	None
29	\int	28	+	None	None	None	None	None	None	None
30	struct	29	\int	None	None	sub	sup	None	None	right
31	c	30	sub	None	None	None	None	None	None	None
32	<eos>	31	c	None	None	None	None	None	None	None
33	a	30	sup	None	None	None	None	None	None	None
34	<eos>	33	a	None	None	None	None	None	None	None
35	f	30	right	None	None	None	None	None	None	None
36	(	35	f	None	None	None	None	None	None	None
37	x	36	(	None	None	None	None	None	None	None
38	)	37	x	None	None	None	None	None	None	None
39	d	38	)	None	None	None	None	None	None	None
40	x	39	d	None	None	None	None	None	None	None
41	<eos>	40	x	None	None	None	None	None	None	None
