1	(	0	<sos>	None	None	None	None	None	None	None
2	d	1	(	None	None	None	None	None	None	None
3	struct	2	d	None	None	sub	None	None	None	right
4	1	3	sub	None	None	None	None	None	None	None
5	<eos>	4	1	None	None	None	None	None	None	None
6	,	3	right	None	None	None	None	None	None	None
7	d	6	,	None	None	None	None	None	None	None
8	struct	7	d	None	None	sub	None	None	None	right
9	2	8	sub	None	None	None	None	None	None	None
10	<eos>	9	2	None	None	None	None	None	None	None
11	,	8	right	None	None	None	None	None	None	None
12	d	11	,	None	None	None	None	None	None	None
13	struct	12	d	None	None	sub	None	None	None	right
14	3	13	sub	None	None	None	None	None	None	None
15	<eos>	14	3	None	None	None	None	None	None	None
16	,	13	right	None	None	None	None	None	None	None
17	d	16	,	None	None	None	None	None	None	None
18	struct	17	d	None	None	sub	None	None	None	right
19	4	18	sub	None	None	None	None	None	None	None
20	<eos>	19	4	None	None	None	None	None	None	None
21	)	18	right	None	None	None	None	None	None	None
22	<eos>	21	)	None	None	None	None	None	None	None
