1	1	0	<sos>	None	None	None	None	None	None	None
2	s	1	1	None	None	None	None	None	None	None
3	struct	2	s	None	None	None	sup	None	None	right
4	2	3	sup	None	None	None	None	None	None	None
5	<eos>	4	2	None	None	None	None	None	None	None
6	,	3	right	None	None	None	None	None	None	None
7	2	6	,	None	None	None	None	None	None	None
8	s	7	2	None	None	None	None	None	None	None
9	struct	8	s	None	None	None	sup	None	None	right
10	2	9	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	,	9	right	None	None	None	None	None	None	None
13	2	12	,	None	None	None	None	None	None	None
14	p	13	2	None	None	None	None	None	None	None
15	struct	14	p	None	None	None	sup	None	None	right
16	6	15	sup	None	None	None	None	None	None	None
17	<eos>	16	6	None	None	None	None	None	None	None
18	,	15	right	None	None	None	None	None	None	None
19	3	18	,	None	None	None	None	None	None	None
20	s	19	3	None	None	None	None	None	None	None
21	struct	20	s	None	None	None	sup	None	None	right
22	2	21	sup	None	None	None	None	None	None	None
23	<eos>	22	2	None	None	None	None	None	None	None
24	,	21	right	None	None	None	None	None	None	None
25	3	24	,	None	None	None	None	None	None	None
26	p	25	3	None	None	None	None	None	None	None
27	struct	26	p	None	None	None	sup	None	None	None
28	2	27	sup	None	None	None	None	None	None	None
29	<eos>	28	2	None	None	None	None	None	None	None
