1	x	0	<sos>	None	None	None	None	None	None	None
2	struct	1	x	None	None	None	sup	None	None	right
3	2	2	sup	None	None	None	None	None	None	None
4	<eos>	3	2	None	None	None	None	None	None	None
5	+	2	right	None	None	None	None	None	None	None
6	y	5	+	None	None	None	None	None	None	None
7	struct	6	y	None	None	None	sup	None	None	right
8	2	7	sup	None	None	None	None	None	None	None
9	<eos>	8	2	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	z	10	+	None	None	None	None	None	None	None
12	struct	11	z	None	None	None	sup	None	None	right
13	2	12	sup	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	+	12	right	None	None	None	None	None	None	None
16	w	15	+	None	None	None	None	None	None	None
17	struct	16	w	None	None	None	sup	None	None	right
18	2	17	sup	None	None	None	None	None	None	None
19	<eos>	18	2	None	None	None	None	None	None	None
20	=	17	right	None	None	None	None	None	None	None
21	a	20	=	None	None	None	None	None	None	None
22	struct	21	a	None	None	None	sup	None	None	None
23	2	22	sup	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
