1	(	0	<sos>	None	None	None	None	None	None	None
2	a	1	(	None	None	None	None	None	None	None
3	+	2	a	None	None	None	None	None	None	None
4	b	3	+	None	None	None	None	None	None	None
5	)	4	b	None	None	None	None	None	None	None
6	struct	5	)	None	None	None	sup	None	None	right
7	4	6	sup	None	None	None	None	None	None	None
8	<eos>	7	4	None	None	None	None	None	None	None
9	=	6	right	None	None	None	None	None	None	None
10	a	9	=	None	None	None	None	None	None	None
11	struct	10	a	None	None	None	sup	None	None	right
12	4	11	sup	None	None	None	None	None	None	None
13	<eos>	12	4	None	None	None	None	None	None	None
14	+	11	right	None	None	None	None	None	None	None
15	4	14	+	None	None	None	None	None	None	None
16	a	15	4	None	None	None	None	None	None	None
17	struct	16	a	None	None	None	sup	None	None	right
18	3	17	sup	None	None	None	None	None	None	None
19	<eos>	18	3	None	None	None	None	None	None	None
20	b	17	right	None	None	None	None	None	None	None
21	+	20	b	None	None	None	None	None	None	None
22	6	21	+	None	None	None	None	None	None	None
23	a	22	6	None	None	None	None	None	None	None
24	struct	23	a	None	None	None	sup	None	None	right
25	2	24	sup	None	None	None	None	None	None	None
26	<eos>	25	2	None	None	None	None	None	None	None
27	b	24	right	None	None	None	None	None	None	None
28	struct	27	b	None	None	None	sup	None	None	right
29	2	28	sup	None	None	None	None	None	None	None
30	<eos>	29	2	None	None	None	None	None	None	None
31	+	28	right	None	None	None	None	None	None	None
32	4	31	+	None	None	None	None	None	None	None
33	a	32	4	None	None	None	None	None	None	None
34	b	33	a	None	None	None	None	None	None	None
35	struct	34	b	None	None	None	sup	None	None	right
36	3	35	sup	None	None	None	None	None	None	None
37	<eos>	36	3	None	None	None	None	None	None	None
38	+	35	right	None	None	None	None	None	None	None
39	b	38	+	None	None	None	None	None	None	None
40	struct	39	b	None	None	None	sup	None	None	None
41	4	40	sup	None	None	None	None	None	None	None
42	<eos>	41	4	None	None	None	None	None	None	None
