1	q	0	<sos>	None	None	None	None	None	None	None
2	(	1	q	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	x	5	=	None	None	None	None	None	None	None
7	struct	6	x	None	None	sub	None	None	None	right
8	1	7	sub	None	None	None	None	None	None	None
9	<eos>	8	1	None	None	None	None	None	None	None
10	x	7	right	None	None	None	None	None	None	None
11	struct	10	x	None	None	sub	None	None	None	right
12	2	11	sub	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	+	11	right	None	None	None	None	None	None	None
15	x	14	+	None	None	None	None	None	None	None
16	struct	15	x	None	None	sub	None	None	None	right
17	2	16	sub	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	x	16	right	None	None	None	None	None	None	None
20	struct	19	x	None	None	sub	None	None	None	right
21	3	20	sub	None	None	None	None	None	None	None
22	<eos>	21	3	None	None	None	None	None	None	None
23	+	20	right	None	None	None	None	None	None	None
24	x	23	+	None	None	None	None	None	None	None
25	struct	24	x	None	None	sub	None	None	None	right
26	1	25	sub	None	None	None	None	None	None	None
27	<eos>	26	1	None	None	None	None	None	None	None
28	x	25	right	None	None	None	None	None	None	None
29	struct	28	x	None	None	sub	None	None	None	None
30	3	29	sub	None	None	None	None	None	None	None
31	<eos>	30	3	None	None	None	None	None	None	None
