1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	d	2	above	None	None	None	None	None	None	None
4	<eos>	3	d	None	None	None	None	None	None	None
5	d	2	below	None	None	None	None	None	None	None
6	x	5	d	None	None	None	None	None	None	None
7	<eos>	6	x	None	None	None	None	None	None	None
8	f	2	right	None	None	None	None	None	None	None
9	(	8	f	None	None	None	None	None	None	None
10	x	9	(	None	None	None	None	None	None	None
11	)	10	x	None	None	None	None	None	None	None
12	=	11	)	None	None	None	None	None	None	None
13	f	12	=	None	None	None	None	None	None	None
14	(	13	f	None	None	None	None	None	None	None
15	x	14	(	None	None	None	None	None	None	None
16	)	15	x	None	None	None	None	None	None	None
17	(	16	)	None	None	None	None	None	None	None
18	1	17	(	None	None	None	None	None	None	None
19	-	18	1	None	None	None	None	None	None	None
20	f	19	-	None	None	None	None	None	None	None
21	(	20	f	None	None	None	None	None	None	None
22	x	21	(	None	None	None	None	None	None	None
23	)	22	x	None	None	None	None	None	None	None
24	)	23	)	None	None	None	None	None	None	None
25	<eos>	24	)	None	None	None	None	None	None	None
