1	x	0	<sos>	None	None	None	None	None	None	None
2	struct	1	x	None	None	None	sup	None	None	None
3	\frac	2	sup	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	1	4	above	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	2	4	below	None	None	None	None	None	None	None
8	<eos>	7	2	None	None	None	None	None	None	None
9	(	4	right	None	None	None	None	None	None	None
10	1	9	(	None	None	None	None	None	None	None
11	+	10	1	None	None	None	None	None	None	None
12	\frac	11	+	None	None	None	None	None	None	None
13	struct	12	\frac	above	below	None	None	None	None	right
14	1	13	above	None	None	None	None	None	None	None
15	<eos>	14	1	None	None	None	None	None	None	None
16	2	13	below	None	None	None	None	None	None	None
17	struct	16	2	None	None	None	sup	None	None	None
18	2	17	sup	None	None	None	None	None	None	None
19	<eos>	18	2	None	None	None	None	None	None	None
20	)	13	right	None	None	None	None	None	None	None
21	(	20	)	None	None	None	None	None	None	None
22	1	21	(	None	None	None	None	None	None	None
23	+	22	1	None	None	None	None	None	None	None
24	\frac	23	+	None	None	None	None	None	None	None
25	struct	24	\frac	above	below	None	None	None	None	right
26	1	25	above	None	None	None	None	None	None	None
27	<eos>	26	1	None	None	None	None	None	None	None
28	2	25	below	None	None	None	None	None	None	None
29	struct	28	2	None	None	None	sup	None	None	None
30	4	29	sup	None	None	None	None	None	None	None
31	<eos>	30	4	None	None	None	None	None	None	None
32	)	25	right	None	None	None	None	None	None	None
33	(	32	)	None	None	None	None	None	None	None
34	1	33	(	None	None	None	None	None	None	None
35	+	34	1	None	None	None	None	None	None	None
36	\frac	35	+	None	None	None	None	None	None	None
37	struct	36	\frac	above	below	None	None	None	None	right
38	1	37	above	None	None	None	None	None	None	None
39	<eos>	38	1	None	None	None	None	None	None	None
40	2	37	below	None	None	None	None	None	None	None
41	struct	40	2	None	None	None	sup	None	None	None
42	8	41	sup	None	None	None	None	None	None	None
43	<eos>	42	8	None	None	None	None	None	None	None
44	)	37	right	None	None	None	None	None	None	None
45	<eos>	44	)	None	None	None	None	None	None	None
