1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	1	2	above	None	None	None	None	None	None	None
4	<eos>	3	1	None	None	None	None	None	None	None
5	1	2	below	None	None	None	None	None	None	None
6	+	5	1	None	None	None	None	None	None	None
7	x	6	+	None	None	None	None	None	None	None
8	<eos>	7	x	None	None	None	None	None	None	None
9	=	2	right	None	None	None	None	None	None	None
10	1	9	=	None	None	None	None	None	None	None
11	-	10	1	None	None	None	None	None	None	None
12	x	11	-	None	None	None	None	None	None	None
13	+	12	x	None	None	None	None	None	None	None
14	x	13	+	None	None	None	None	None	None	None
15	struct	14	x	None	None	None	sup	None	None	right
16	2	15	sup	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	-	15	right	None	None	None	None	None	None	None
19	x	18	-	None	None	None	None	None	None	None
20	struct	19	x	None	None	None	sup	None	None	right
21	3	20	sup	None	None	None	None	None	None	None
22	<eos>	21	3	None	None	None	None	None	None	None
23	+	20	right	None	None	None	None	None	None	None
24	\ldots	23	+	None	None	None	None	None	None	None
25	+	24	\ldots	None	None	None	None	None	None	None
26	(	25	+	None	None	None	None	None	None	None
27	-	26	(	None	None	None	None	None	None	None
28	1	27	-	None	None	None	None	None	None	None
29	)	28	1	None	None	None	None	None	None	None
30	struct	29	)	None	None	None	sup	None	None	right
31	n	30	sup	None	None	None	None	None	None	None
32	<eos>	31	n	None	None	None	None	None	None	None
33	x	30	right	None	None	None	None	None	None	None
34	struct	33	x	None	None	None	sup	None	None	right
35	n	34	sup	None	None	None	None	None	None	None
36	<eos>	35	n	None	None	None	None	None	None	None
37	+	34	right	None	None	None	None	None	None	None
38	o	37	+	None	None	None	None	None	None	None
39	(	38	o	None	None	None	None	None	None	None
40	x	39	(	None	None	None	None	None	None	None
41	struct	40	x	None	None	None	sup	None	None	right
42	n	41	sup	None	None	None	None	None	None	None
43	<eos>	42	n	None	None	None	None	None	None	None
44	)	41	right	None	None	None	None	None	None	None
45	<eos>	44	)	None	None	None	None	None	None	None
