1	(	0	<sos>	None	None	None	None	None	None	None
2	a	1	(	None	None	None	None	None	None	None
3	-	2	a	None	None	None	None	None	None	None
4	b	3	-	None	None	None	None	None	None	None
5	)	4	b	None	None	None	None	None	None	None
6	struct	5	)	None	None	None	sup	None	None	right
7	3	6	sup	None	None	None	None	None	None	None
8	<eos>	7	3	None	None	None	None	None	None	None
9	=	6	right	None	None	None	None	None	None	None
10	a	9	=	None	None	None	None	None	None	None
11	struct	10	a	None	None	None	sup	None	None	right
12	3	11	sup	None	None	None	None	None	None	None
13	<eos>	12	3	None	None	None	None	None	None	None
14	-	11	right	None	None	None	None	None	None	None
15	3	14	-	None	None	None	None	None	None	None
16	a	15	3	None	None	None	None	None	None	None
17	struct	16	a	None	None	None	sup	None	None	right
18	2	17	sup	None	None	None	None	None	None	None
19	<eos>	18	2	None	None	None	None	None	None	None
20	b	17	right	None	None	None	None	None	None	None
21	+	20	b	None	None	None	None	None	None	None
22	3	21	+	None	None	None	None	None	None	None
23	a	22	3	None	None	None	None	None	None	None
24	b	23	a	None	None	None	None	None	None	None
25	struct	24	b	None	None	None	sup	None	None	right
26	2	25	sup	None	None	None	None	None	None	None
27	<eos>	26	2	None	None	None	None	None	None	None
28	-	25	right	None	None	None	None	None	None	None
29	b	28	-	None	None	None	None	None	None	None
30	struct	29	b	None	None	None	sup	None	None	None
31	3	30	sup	None	None	None	None	None	None	None
32	<eos>	31	3	None	None	None	None	None	None	None
