1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	None
3	\int	2	above	None	None	None	None	None	None	None
4	\sqrt	3	\int	None	None	None	None	None	None	None
5	struct	4	\sqrt	None	None	None	None	None	inside	right
6	1	5	inside	None	None	None	None	None	None	None
7	+	6	1	None	None	None	None	None	None	None
8	y	7	+	None	None	None	None	None	None	None
9	struct	8	y	None	None	None	sup	None	None	right
10	'	9	sup	None	None	None	None	None	None	None
11	<eos>	10	'	None	None	None	None	None	None	None
12	(	9	right	None	None	None	None	None	None	None
13	t	12	(	None	None	None	None	None	None	None
14	)	13	t	None	None	None	None	None	None	None
15	struct	14	)	None	None	None	sup	None	None	None
16	2	15	sup	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	d	5	right	None	None	None	None	None	None	None
19	t	18	d	None	None	None	None	None	None	None
20	<eos>	19	t	None	None	None	None	None	None	None
21	\int	2	below	None	None	None	None	None	None	None
22	\sqrt	21	\int	None	None	None	None	None	None	None
23	struct	22	\sqrt	None	None	None	None	None	inside	right
24	x	23	inside	None	None	None	None	None	None	None
25	struct	24	x	None	None	None	sup	None	None	right
26	'	25	sup	None	None	None	None	None	None	None
27	<eos>	26	'	None	None	None	None	None	None	None
28	(	25	right	None	None	None	None	None	None	None
29	t	28	(	None	None	None	None	None	None	None
30	)	29	t	None	None	None	None	None	None	None
31	struct	30	)	None	None	None	sup	None	None	right
32	2	31	sup	None	None	None	None	None	None	None
33	<eos>	32	2	None	None	None	None	None	None	None
34	+	31	right	None	None	None	None	None	None	None
35	y	34	+	None	None	None	None	None	None	None
36	struct	35	y	None	None	None	sup	None	None	right
37	'	36	sup	None	None	None	None	None	None	None
38	<eos>	37	'	None	None	None	None	None	None	None
39	(	36	right	None	None	None	None	None	None	None
40	t	39	(	None	None	None	None	None	None	None
41	)	40	t	None	None	None	None	None	None	None
42	struct	41	)	None	None	None	sup	None	None	None
43	2	42	sup	None	None	None	None	None	None	None
44	<eos>	43	2	None	None	None	None	None	None	None
45	d	23	right	None	None	None	None	None	None	None
46	t	45	d	None	None	None	None	None	None	None
47	<eos>	46	t	None	None	None	None	None	None	None
