1	\sum	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sum	above	below	None	None	None	None	right
3	n	2	below	None	None	None	None	None	None	None
4	=	3	n	None	None	None	None	None	None	None
5	1	4	=	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	\infty	2	above	None	None	None	None	None	None	None
8	<eos>	7	\infty	None	None	None	None	None	None	None
9	(	2	right	None	None	None	None	None	None	None
10	\frac	9	(	None	None	None	None	None	None	None
11	struct	10	\frac	above	below	None	None	None	None	right
12	1	11	above	None	None	None	None	None	None	None
13	<eos>	12	1	None	None	None	None	None	None	None
14	n	11	below	None	None	None	None	None	None	None
15	+	14	n	None	None	None	None	None	None	None
16	1	15	+	None	None	None	None	None	None	None
17	<eos>	16	1	None	None	None	None	None	None	None
18	-	11	right	None	None	None	None	None	None	None
19	\frac	18	-	None	None	None	None	None	None	None
20	struct	19	\frac	above	below	None	None	None	None	right
21	1	20	above	None	None	None	None	None	None	None
22	<eos>	21	1	None	None	None	None	None	None	None
23	n	20	below	None	None	None	None	None	None	None
24	<eos>	23	n	None	None	None	None	None	None	None
25	)	20	right	None	None	None	None	None	None	None
26	<eos>	25	)	None	None	None	None	None	None	None
