1	7	0	<sos>	None	None	None	None	None	None	None
2	2	1	7	None	None	None	None	None	None	None
3	9	2	2	None	None	None	None	None	None	None
4	0	3	9	None	None	None	None	None	None	None
5	0	4	0	None	None	None	None	None	None	None
6	0	5	0	None	None	None	None	None	None	None
7	0	6	0	None	None	None	None	None	None	None
8	0	7	0	None	None	None	None	None	None	None
9	0	8	0	None	None	None	None	None	None	None
10	0	9	0	None	None	None	None	None	None	None
11	0	10	0	None	None	None	None	None	None	None
12	=	11	0	None	None	None	None	None	None	None
13	2	12	=	None	None	None	None	None	None	None
14	struct	13	2	None	None	None	sup	None	None	right
15	8	14	sup	None	None	None	None	None	None	None
16	<eos>	15	8	None	None	None	None	None	None	None
17	3	14	right	None	None	None	None	None	None	None
18	struct	17	3	None	None	None	sup	None	None	right
19	6	18	sup	None	None	None	None	None	None	None
20	<eos>	19	6	None	None	None	None	None	None	None
21	5	18	right	None	None	None	None	None	None	None
22	struct	21	5	None	None	None	sup	None	None	None
23	8	22	sup	None	None	None	None	None	None	None
24	<eos>	23	8	None	None	None	None	None	None	None
