1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	y	2	above	None	None	None	None	None	None	None
4	struct	3	y	None	None	sub	None	None	None	right
5	i	4	sub	None	None	None	None	None	None	None
6	+	5	i	None	None	None	None	None	None	None
7	1	6	+	None	None	None	None	None	None	None
8	<eos>	7	1	None	None	None	None	None	None	None
9	-	4	right	None	None	None	None	None	None	None
10	y	9	-	None	None	None	None	None	None	None
11	struct	10	y	None	None	sub	None	None	None	None
12	i	11	sub	None	None	None	None	None	None	None
13	<eos>	12	i	None	None	None	None	None	None	None
14	x	2	below	None	None	None	None	None	None	None
15	struct	14	x	None	None	sub	None	None	None	right
16	i	15	sub	None	None	None	None	None	None	None
17	+	16	i	None	None	None	None	None	None	None
18	1	17	+	None	None	None	None	None	None	None
19	<eos>	18	1	None	None	None	None	None	None	None
20	-	15	right	None	None	None	None	None	None	None
21	x	20	-	None	None	None	None	None	None	None
22	struct	21	x	None	None	sub	None	None	None	None
23	i	22	sub	None	None	None	None	None	None	None
24	<eos>	23	i	None	None	None	None	None	None	None
25	=	2	right	None	None	None	None	None	None	None
26	f	25	=	None	None	None	None	None	None	None
27	(	26	f	None	None	None	None	None	None	None
28	x	27	(	None	None	None	None	None	None	None
29	struct	28	x	None	None	sub	None	None	None	right
30	i	29	sub	None	None	None	None	None	None	None
31	<eos>	30	i	None	None	None	None	None	None	None
32	,	29	right	None	None	None	None	None	None	None
33	y	32	,	None	None	None	None	None	None	None
34	struct	33	y	None	None	sub	None	None	None	right
35	i	34	sub	None	None	None	None	None	None	None
36	<eos>	35	i	None	None	None	None	None	None	None
37	)	34	right	None	None	None	None	None	None	None
38	<eos>	37	)	None	None	None	None	None	None	None
