1	x	0	<sos>	None	None	None	None	None	None	None
2	struct	1	x	None	None	sub	None	None	None	right
3	0	2	sub	None	None	None	None	None	None	None
4	<eos>	3	0	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	\sqrt	5	=	None	None	None	None	None	None	None
7	struct	6	\sqrt	None	None	None	None	None	inside	None
8	2	7	inside	None	None	None	None	None	None	None
9	-	8	2	None	None	None	None	None	None	None
10	\sqrt	9	-	None	None	None	None	None	None	None
11	struct	10	\sqrt	None	None	None	None	None	inside	None
12	2	11	inside	None	None	None	None	None	None	None
13	+	12	2	None	None	None	None	None	None	None
14	\sqrt	13	+	None	None	None	None	None	None	None
15	struct	14	\sqrt	None	None	None	None	None	inside	None
16	2	15	inside	None	None	None	None	None	None	None
17	+	16	2	None	None	None	None	None	None	None
18	\sqrt	17	+	None	None	None	None	None	None	None
19	struct	18	\sqrt	None	None	None	None	None	inside	None
20	2	19	inside	None	None	None	None	None	None	None
21	+	20	2	None	None	None	None	None	None	None
22	\sqrt	21	+	None	None	None	None	None	None	None
23	struct	22	\sqrt	None	None	None	None	None	inside	None
24	3	23	inside	None	None	None	None	None	None	None
25	<eos>	24	3	None	None	None	None	None	None	None
