1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	y	5	=	None	None	None	None	None	None	None
7	struct	6	y	None	None	sub	None	None	None	right
8	a	7	sub	None	None	None	None	None	None	None
9	<eos>	8	a	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	(	10	+	None	None	None	None	None	None	None
12	x	11	(	None	None	None	None	None	None	None
13	-	12	x	None	None	None	None	None	None	None
14	x	13	-	None	None	None	None	None	None	None
15	struct	14	x	None	None	sub	None	None	None	right
16	a	15	sub	None	None	None	None	None	None	None
17	<eos>	16	a	None	None	None	None	None	None	None
18	)	15	right	None	None	None	None	None	None	None
19	\frac	18	)	None	None	None	None	None	None	None
20	struct	19	\frac	above	below	None	None	None	None	None
21	y	20	above	None	None	None	None	None	None	None
22	struct	21	y	None	None	sub	None	None	None	right
23	b	22	sub	None	None	None	None	None	None	None
24	<eos>	23	b	None	None	None	None	None	None	None
25	-	22	right	None	None	None	None	None	None	None
26	y	25	-	None	None	None	None	None	None	None
27	struct	26	y	None	None	sub	None	None	None	None
28	a	27	sub	None	None	None	None	None	None	None
29	<eos>	28	a	None	None	None	None	None	None	None
30	x	20	below	None	None	None	None	None	None	None
31	struct	30	x	None	None	sub	None	None	None	right
32	b	31	sub	None	None	None	None	None	None	None
33	<eos>	32	b	None	None	None	None	None	None	None
34	-	31	right	None	None	None	None	None	None	None
35	x	34	-	None	None	None	None	None	None	None
36	struct	35	x	None	None	sub	None	None	None	None
37	a	36	sub	None	None	None	None	None	None	None
38	<eos>	37	a	None	None	None	None	None	None	None
