1	1	0	<sos>	None	None	None	None	None	None	None
2	0	1	1	None	None	None	None	None	None	None
3	x	2	0	None	None	None	None	None	None	None
4	struct	3	x	None	None	None	sup	None	None	right
5	2	4	sup	None	None	None	None	None	None	None
6	<eos>	5	2	None	None	None	None	None	None	None
7	\sqrt	4	right	None	None	None	None	None	None	None
8	struct	7	\sqrt	None	None	None	None	None	inside	right
9	5	8	inside	None	None	None	None	None	None	None
10	+	9	5	None	None	None	None	None	None	None
11	2	10	+	None	None	None	None	None	None	None
12	\sqrt	11	2	None	None	None	None	None	None	None
13	struct	12	\sqrt	None	None	None	None	None	inside	None
14	5	13	inside	None	None	None	None	None	None	None
15	<eos>	14	5	None	None	None	None	None	None	None
16	+	8	right	None	None	None	None	None	None	None
17	5	16	+	None	None	None	None	None	None	None
18	x	17	5	None	None	None	None	None	None	None
19	-	18	x	None	None	None	None	None	None	None
20	\sqrt	19	-	None	None	None	None	None	None	None
21	struct	20	\sqrt	None	None	None	None	None	inside	None
22	5	21	inside	None	None	None	None	None	None	None
23	+	22	5	None	None	None	None	None	None	None
24	2	23	+	None	None	None	None	None	None	None
25	\sqrt	24	2	None	None	None	None	None	None	None
26	struct	25	\sqrt	None	None	None	None	None	inside	None
27	5	26	inside	None	None	None	None	None	None	None
28	<eos>	27	5	None	None	None	None	None	None	None
