1	s	0	<sos>	None	None	None	None	None	None	None
2	=	1	s	None	None	None	None	None	None	None
3	b	2	=	None	None	None	None	None	None	None
4	struct	3	b	None	None	sub	None	None	None	right
5	k	4	sub	None	None	None	None	None	None	None
6	<eos>	5	k	None	None	None	None	None	None	None
7	-	4	right	None	None	None	None	None	None	None
8	\frac	7	-	None	None	None	None	None	None	None
9	struct	8	\frac	above	below	None	None	None	None	right
10	b	9	above	None	None	None	None	None	None	None
11	struct	10	b	None	None	sub	None	None	None	right
12	k	11	sub	None	None	None	None	None	None	None
13	<eos>	12	k	None	None	None	None	None	None	None
14	-	11	right	None	None	None	None	None	None	None
15	b	14	-	None	None	None	None	None	None	None
16	struct	15	b	None	None	sub	None	None	None	None
17	k	16	sub	None	None	None	None	None	None	None
18	-	17	k	None	None	None	None	None	None	None
19	1	18	-	None	None	None	None	None	None	None
20	<eos>	19	1	None	None	None	None	None	None	None
21	f	9	below	None	None	None	None	None	None	None
22	(	21	f	None	None	None	None	None	None	None
23	b	22	(	None	None	None	None	None	None	None
24	struct	23	b	None	None	sub	None	None	None	right
25	k	24	sub	None	None	None	None	None	None	None
26	<eos>	25	k	None	None	None	None	None	None	None
27	)	24	right	None	None	None	None	None	None	None
28	-	27	)	None	None	None	None	None	None	None
29	f	28	-	None	None	None	None	None	None	None
30	(	29	f	None	None	None	None	None	None	None
31	b	30	(	None	None	None	None	None	None	None
32	struct	31	b	None	None	sub	None	None	None	right
33	k	32	sub	None	None	None	None	None	None	None
34	-	33	k	None	None	None	None	None	None	None
35	1	34	-	None	None	None	None	None	None	None
36	<eos>	35	1	None	None	None	None	None	None	None
37	)	32	right	None	None	None	None	None	None	None
38	<eos>	37	)	None	None	None	None	None	None	None
39	f	9	right	None	None	None	None	None	None	None
40	(	39	f	None	None	None	None	None	None	None
41	b	40	(	None	None	None	None	None	None	None
42	struct	41	b	None	None	sub	None	None	None	right
43	k	42	sub	None	None	None	None	None	None	None
44	<eos>	43	k	None	None	None	None	None	None	None
45	)	42	right	None	None	None	None	None	None	None
46	<eos>	45	)	None	None	None	None	None	None	None
