1	(	0	<sos>	None	None	None	None	None	None	None
2	y	1	(	None	None	None	None	None	None	None
3	struct	2	y	None	None	sub	None	None	None	right
4	1	3	sub	None	None	None	None	None	None	None
5	<eos>	4	1	None	None	None	None	None	None	None
6	,	3	right	None	None	None	None	None	None	None
7	\ldots	6	,	None	None	None	None	None	None	None
8	,	7	\ldots	None	None	None	None	None	None	None
9	y	8	,	None	None	None	None	None	None	None
10	struct	9	y	None	None	sub	None	None	None	right
11	i	10	sub	None	None	None	None	None	None	None
12	-	11	i	None	None	None	None	None	None	None
13	1	12	-	None	None	None	None	None	None	None
14	<eos>	13	1	None	None	None	None	None	None	None
15	,	10	right	None	None	None	None	None	None	None
16	y	15	,	None	None	None	None	None	None	None
17	struct	16	y	None	None	sub	None	None	None	right
18	i	17	sub	None	None	None	None	None	None	None
19	+	18	i	None	None	None	None	None	None	None
20	1	19	+	None	None	None	None	None	None	None
21	<eos>	20	1	None	None	None	None	None	None	None
22	,	17	right	None	None	None	None	None	None	None
23	\ldots	22	,	None	None	None	None	None	None	None
24	,	23	\ldots	None	None	None	None	None	None	None
25	y	24	,	None	None	None	None	None	None	None
26	struct	25	y	None	None	sub	None	None	None	right
27	n	26	sub	None	None	None	None	None	None	None
28	+	27	n	None	None	None	None	None	None	None
29	1	28	+	None	None	None	None	None	None	None
30	<eos>	29	1	None	None	None	None	None	None	None
31	)	26	right	None	None	None	None	None	None	None
32	<eos>	31	)	None	None	None	None	None	None	None
