1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	d	2	above	None	None	None	None	None	None	None
4	<eos>	3	d	None	None	None	None	None	None	None
5	d	2	below	None	None	None	None	None	None	None
6	t	5	d	None	None	None	None	None	None	None
7	<eos>	6	t	None	None	None	None	None	None	None
8	P	2	right	None	None	None	None	None	None	None
9	(	8	P	None	None	None	None	None	None	None
10	t	9	(	None	None	None	None	None	None	None
11	)	10	t	None	None	None	None	None	None	None
12	=	11	)	None	None	None	None	None	None	None
13	P	12	=	None	None	None	None	None	None	None
14	(	13	P	None	None	None	None	None	None	None
15	t	14	(	None	None	None	None	None	None	None
16	)	15	t	None	None	None	None	None	None	None
17	\cdot	16	)	None	None	None	None	None	None	None
18	(	17	\cdot	None	None	None	None	None	None	None
19	1	18	(	None	None	None	None	None	None	None
20	-	19	1	None	None	None	None	None	None	None
21	P	20	-	None	None	None	None	None	None	None
22	(	21	P	None	None	None	None	None	None	None
23	t	22	(	None	None	None	None	None	None	None
24	)	23	t	None	None	None	None	None	None	None
25	)	24	)	None	None	None	None	None	None	None
26	<eos>	25	)	None	None	None	None	None	None	None
