1	\sqrt	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sqrt	None	None	None	None	None	inside	right
3	\frac	2	inside	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	1	4	above	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	n	4	below	None	None	None	None	None	None	None
8	<eos>	7	n	None	None	None	None	None	None	None
9	\sum	4	right	None	None	None	None	None	None	None
10	struct	9	\sum	above	below	None	None	None	None	right
11	k	10	below	None	None	None	None	None	None	None
12	=	11	k	None	None	None	None	None	None	None
13	1	12	=	None	None	None	None	None	None	None
14	<eos>	13	1	None	None	None	None	None	None	None
15	n	10	above	None	None	None	None	None	None	None
16	<eos>	15	n	None	None	None	None	None	None	None
17	(	10	right	None	None	None	None	None	None	None
18	a	17	(	None	None	None	None	None	None	None
19	struct	18	a	None	None	sub	None	None	None	right
20	k	19	sub	None	None	None	None	None	None	None
21	<eos>	20	k	None	None	None	None	None	None	None
22	)	19	right	None	None	None	None	None	None	None
23	struct	22	)	None	None	None	sup	None	None	None
24	2	23	sup	None	None	None	None	None	None	None
25	<eos>	24	2	None	None	None	None	None	None	None
26	\geq	2	right	None	None	None	None	None	None	None
27	\frac	26	\geq	None	None	None	None	None	None	None
28	struct	27	\frac	above	below	None	None	None	None	right
29	1	28	above	None	None	None	None	None	None	None
30	<eos>	29	1	None	None	None	None	None	None	None
31	n	28	below	None	None	None	None	None	None	None
32	<eos>	31	n	None	None	None	None	None	None	None
33	\sum	28	right	None	None	None	None	None	None	None
34	struct	33	\sum	above	below	None	None	None	None	right
35	k	34	below	None	None	None	None	None	None	None
36	=	35	k	None	None	None	None	None	None	None
37	1	36	=	None	None	None	None	None	None	None
38	<eos>	37	1	None	None	None	None	None	None	None
39	n	34	above	None	None	None	None	None	None	None
40	<eos>	39	n	None	None	None	None	None	None	None
41	a	34	right	None	None	None	None	None	None	None
42	struct	41	a	None	None	sub	None	None	None	None
43	k	42	sub	None	None	None	None	None	None	None
44	<eos>	43	k	None	None	None	None	None	None	None
