1	2	0	<sos>	None	None	None	None	None	None	None
2	struct	1	2	None	None	None	sup	None	None	right
3	3	2	sup	None	None	None	None	None	None	None
4	<eos>	3	3	None	None	None	None	None	None	None
5	+	2	right	None	None	None	None	None	None	None
6	1	5	+	None	None	None	None	None	None	None
7	6	6	1	None	None	None	None	None	None	None
8	struct	7	6	None	None	None	sup	None	None	right
9	3	8	sup	None	None	None	None	None	None	None
10	<eos>	9	3	None	None	None	None	None	None	None
11	=	8	right	None	None	None	None	None	None	None
12	9	11	=	None	None	None	None	None	None	None
13	struct	12	9	None	None	None	sup	None	None	right
14	3	13	sup	None	None	None	None	None	None	None
15	<eos>	14	3	None	None	None	None	None	None	None
16	+	13	right	None	None	None	None	None	None	None
17	1	16	+	None	None	None	None	None	None	None
18	5	17	1	None	None	None	None	None	None	None
19	struct	18	5	None	None	None	sup	None	None	right
20	3	19	sup	None	None	None	None	None	None	None
21	<eos>	20	3	None	None	None	None	None	None	None
22	=	19	right	None	None	None	None	None	None	None
23	4	22	=	None	None	None	None	None	None	None
24	1	23	4	None	None	None	None	None	None	None
25	0	24	1	None	None	None	None	None	None	None
26	4	25	0	None	None	None	None	None	None	None
27	<eos>	26	4	None	None	None	None	None	None	None
