1	(	0	<sos>	None	None	None	None	None	None	None
2	-	1	(	None	None	None	None	None	None	None
3	\sin	2	-	None	None	None	None	None	None	None
4	\phi	3	\sin	None	None	None	None	None	None	None
5	\cos	4	\phi	None	None	None	None	None	None	None
6	\theta	5	\cos	None	None	None	None	None	None	None
7	,	6	\theta	None	None	None	None	None	None	None
8	-	7	,	None	None	None	None	None	None	None
9	\sin	8	-	None	None	None	None	None	None	None
10	\phi	9	\sin	None	None	None	None	None	None	None
11	\sin	10	\phi	None	None	None	None	None	None	None
12	\theta	11	\sin	None	None	None	None	None	None	None
13	,	12	\theta	None	None	None	None	None	None	None
14	\cos	13	,	None	None	None	None	None	None	None
15	\phi	14	\cos	None	None	None	None	None	None	None
16	)	15	\phi	None	None	None	None	None	None	None
17	<eos>	16	)	None	None	None	None	None	None	None
