1	\sum	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sum	above	below	None	None	None	None	right
3	i	2	below	None	None	None	None	None	None	None
4	=	3	i	None	None	None	None	None	None	None
5	1	4	=	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	6	2	above	None	None	None	None	None	None	None
8	<eos>	7	6	None	None	None	None	None	None	None
9	i	2	right	None	None	None	None	None	None	None
10	struct	9	i	None	None	None	sup	None	None	right
11	2	10	sup	None	None	None	None	None	None	None
12	<eos>	11	2	None	None	None	None	None	None	None
13	=	10	right	None	None	None	None	None	None	None
14	1	13	=	None	None	None	None	None	None	None
15	struct	14	1	None	None	None	sup	None	None	right
16	2	15	sup	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	+	15	right	None	None	None	None	None	None	None
19	2	18	+	None	None	None	None	None	None	None
20	struct	19	2	None	None	None	sup	None	None	right
21	2	20	sup	None	None	None	None	None	None	None
22	<eos>	21	2	None	None	None	None	None	None	None
23	+	20	right	None	None	None	None	None	None	None
24	3	23	+	None	None	None	None	None	None	None
25	struct	24	3	None	None	None	sup	None	None	right
26	2	25	sup	None	None	None	None	None	None	None
27	<eos>	26	2	None	None	None	None	None	None	None
28	+	25	right	None	None	None	None	None	None	None
29	4	28	+	None	None	None	None	None	None	None
30	struct	29	4	None	None	None	sup	None	None	right
31	2	30	sup	None	None	None	None	None	None	None
32	<eos>	31	2	None	None	None	None	None	None	None
33	+	30	right	None	None	None	None	None	None	None
34	5	33	+	None	None	None	None	None	None	None
35	struct	34	5	None	None	None	sup	None	None	right
36	2	35	sup	None	None	None	None	None	None	None
37	<eos>	36	2	None	None	None	None	None	None	None
38	+	35	right	None	None	None	None	None	None	None
39	6	38	+	None	None	None	None	None	None	None
40	struct	39	6	None	None	None	sup	None	None	None
41	2	40	sup	None	None	None	None	None	None	None
42	<eos>	41	2	None	None	None	None	None	None	None
