1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	\frac	5	=	None	None	None	None	None	None	None
7	struct	6	\frac	above	below	None	None	None	None	right
8	x	7	above	None	None	None	None	None	None	None
9	struct	8	x	None	None	sub	None	None	None	right
10	b	9	sub	None	None	None	None	None	None	None
11	<eos>	10	b	None	None	None	None	None	None	None
12	-	9	right	None	None	None	None	None	None	None
13	x	12	-	None	None	None	None	None	None	None
14	<eos>	13	x	None	None	None	None	None	None	None
15	x	7	below	None	None	None	None	None	None	None
16	struct	15	x	None	None	sub	None	None	None	right
17	b	16	sub	None	None	None	None	None	None	None
18	<eos>	17	b	None	None	None	None	None	None	None
19	-	16	right	None	None	None	None	None	None	None
20	x	19	-	None	None	None	None	None	None	None
21	struct	20	x	None	None	sub	None	None	None	None
22	a	21	sub	None	None	None	None	None	None	None
23	<eos>	22	a	None	None	None	None	None	None	None
24	y	7	right	None	None	None	None	None	None	None
25	struct	24	y	None	None	sub	None	None	None	right
26	a	25	sub	None	None	None	None	None	None	None
27	<eos>	26	a	None	None	None	None	None	None	None
28	+	25	right	None	None	None	None	None	None	None
29	\frac	28	+	None	None	None	None	None	None	None
30	struct	29	\frac	above	below	None	None	None	None	right
31	x	30	above	None	None	None	None	None	None	None
32	-	31	x	None	None	None	None	None	None	None
33	x	32	-	None	None	None	None	None	None	None
34	struct	33	x	None	None	sub	None	None	None	None
35	a	34	sub	None	None	None	None	None	None	None
36	<eos>	35	a	None	None	None	None	None	None	None
37	x	30	below	None	None	None	None	None	None	None
38	struct	37	x	None	None	sub	None	None	None	right
39	b	38	sub	None	None	None	None	None	None	None
40	<eos>	39	b	None	None	None	None	None	None	None
41	-	38	right	None	None	None	None	None	None	None
42	x	41	-	None	None	None	None	None	None	None
43	struct	42	x	None	None	sub	None	None	None	None
44	a	43	sub	None	None	None	None	None	None	None
45	<eos>	44	a	None	None	None	None	None	None	None
46	y	30	right	None	None	None	None	None	None	None
47	struct	46	y	None	None	sub	None	None	None	None
48	b	47	sub	None	None	None	None	None	None	None
49	<eos>	48	b	None	None	None	None	None	None	None
