1	z	0	<sos>	None	None	None	None	None	None	None
2	struct	1	z	None	None	sub	None	None	None	right
3	2	2	sub	None	None	None	None	None	None	None
4	<eos>	3	2	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	-	5	=	None	None	None	None	None	None	None
7	(	6	-	None	None	None	None	None	None	None
8	y	7	(	None	None	None	None	None	None	None
9	struct	8	y	None	None	sub	None	None	None	right
10	1	9	sub	None	None	None	None	None	None	None
11	<eos>	10	1	None	None	None	None	None	None	None
12	+	9	right	None	None	None	None	None	None	None
13	y	12	+	None	None	None	None	None	None	None
14	struct	13	y	None	None	sub	None	None	None	right
15	3	14	sub	None	None	None	None	None	None	None
16	<eos>	15	3	None	None	None	None	None	None	None
17	)	14	right	None	None	None	None	None	None	None
18	(	17	)	None	None	None	None	None	None	None
19	y	18	(	None	None	None	None	None	None	None
20	struct	19	y	None	None	sub	None	None	None	right
21	2	20	sub	None	None	None	None	None	None	None
22	<eos>	21	2	None	None	None	None	None	None	None
23	+	20	right	None	None	None	None	None	None	None
24	y	23	+	None	None	None	None	None	None	None
25	struct	24	y	None	None	sub	None	None	None	right
26	4	25	sub	None	None	None	None	None	None	None
27	<eos>	26	4	None	None	None	None	None	None	None
28	)	25	right	None	None	None	None	None	None	None
29	<eos>	28	)	None	None	None	None	None	None	None
