1	4	0	<sos>	None	None	None	None	None	None	None
2	+	1	4	None	None	None	None	None	None	None
3	\frac	2	+	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	1	4	above	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	2	4	below	None	None	None	None	None	None	None
8	+	7	2	None	None	None	None	None	None	None
9	\frac	8	+	None	None	None	None	None	None	None
10	struct	9	\frac	above	below	None	None	None	None	None
11	1	10	above	None	None	None	None	None	None	None
12	<eos>	11	1	None	None	None	None	None	None	None
13	1	10	below	None	None	None	None	None	None	None
14	+	13	1	None	None	None	None	None	None	None
15	\frac	14	+	None	None	None	None	None	None	None
16	struct	15	\frac	above	below	None	None	None	None	None
17	1	16	above	None	None	None	None	None	None	None
18	<eos>	17	1	None	None	None	None	None	None	None
19	3	16	below	None	None	None	None	None	None	None
20	+	19	3	None	None	None	None	None	None	None
21	\frac	20	+	None	None	None	None	None	None	None
22	struct	21	\frac	above	below	None	None	None	None	None
23	1	22	above	None	None	None	None	None	None	None
24	<eos>	23	1	None	None	None	None	None	None	None
25	1	22	below	None	None	None	None	None	None	None
26	+	25	1	None	None	None	None	None	None	None
27	\frac	26	+	None	None	None	None	None	None	None
28	struct	27	\frac	above	below	None	None	None	None	None
29	1	28	above	None	None	None	None	None	None	None
30	<eos>	29	1	None	None	None	None	None	None	None
31	2	28	below	None	None	None	None	None	None	None
32	<eos>	31	2	None	None	None	None	None	None	None
33	=	4	right	None	None	None	None	None	None	None
34	\frac	33	=	None	None	None	None	None	None	None
35	struct	34	\frac	above	below	None	None	None	None	None
36	1	35	above	None	None	None	None	None	None	None
37	7	36	1	None	None	None	None	None	None	None
38	0	37	7	None	None	None	None	None	None	None
39	<eos>	38	0	None	None	None	None	None	None	None
40	3	35	below	None	None	None	None	None	None	None
41	9	40	3	None	None	None	None	None	None	None
42	<eos>	41	9	None	None	None	None	None	None	None
