1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	1	2	above	None	None	None	None	None	None	None
4	<eos>	3	1	None	None	None	None	None	None	None
5	2	2	below	None	None	None	None	None	None	None
6	<eos>	5	2	None	None	None	None	None	None	None
7	l	2	right	None	None	None	None	None	None	None
8	(	7	l	None	None	None	None	None	None	None
9	1	8	(	None	None	None	None	None	None	None
10	+	9	1	None	None	None	None	None	None	None
11	\sqrt	10	+	None	None	None	None	None	None	None
12	struct	11	\sqrt	None	None	None	None	None	inside	right
13	2	12	inside	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	)	12	right	None	None	None	None	None	None	None
16	(	15	)	None	None	None	None	None	None	None
17	1	16	(	None	None	None	None	None	None	None
18	+	17	1	None	None	None	None	None	None	None
19	\sqrt	18	+	None	None	None	None	None	None	None
20	struct	19	\sqrt	None	None	None	None	None	inside	right
21	4	20	inside	None	None	None	None	None	None	None
22	-	21	4	None	None	None	None	None	None	None
23	2	22	-	None	None	None	None	None	None	None
24	\sqrt	23	2	None	None	None	None	None	None	None
25	struct	24	\sqrt	None	None	None	None	None	inside	None
26	2	25	inside	None	None	None	None	None	None	None
27	<eos>	26	2	None	None	None	None	None	None	None
28	)	20	right	None	None	None	None	None	None	None
29	<eos>	28	)	None	None	None	None	None	None	None
