1	x	0	<sos>	None	None	None	None	None	None	None
2	=	1	x	None	None	None	None	None	None	None
3	2	2	=	None	None	None	None	None	None	None
4	\times	3	2	None	None	None	None	None	None	None
5	7	4	\times	None	None	None	None	None	None	None
6	0	5	7	None	None	None	None	None	None	None
7	+	6	0	None	None	None	None	None	None	None
8	3	7	+	None	None	None	None	None	None	None
9	\times	8	3	None	None	None	None	None	None	None
10	2	9	\times	None	None	None	None	None	None	None
11	1	10	2	None	None	None	None	None	None	None
12	+	11	1	None	None	None	None	None	None	None
13	2	12	+	None	None	None	None	None	None	None
14	\times	13	2	None	None	None	None	None	None	None
15	1	14	\times	None	None	None	None	None	None	None
16	5	15	1	None	None	None	None	None	None	None
17	=	16	5	None	None	None	None	None	None	None
18	2	17	=	None	None	None	None	None	None	None
19	3	18	2	None	None	None	None	None	None	None
20	3	19	3	None	None	None	None	None	None	None
21	<eos>	20	3	None	None	None	None	None	None	None
