1	(	0	<sos>	None	None	None	None	None	None	None
2	a	1	(	None	None	None	None	None	None	None
3	struct	2	a	None	None	sub	None	None	None	right
4	1	3	sub	None	None	None	None	None	None	None
5	<eos>	4	1	None	None	None	None	None	None	None
6	b	3	right	None	None	None	None	None	None	None
7	struct	6	b	None	None	sub	None	None	None	right
8	2	7	sub	None	None	None	None	None	None	None
9	<eos>	8	2	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	a	10	+	None	None	None	None	None	None	None
12	struct	11	a	None	None	sub	None	None	None	right
13	2	12	sub	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	b	12	right	None	None	None	None	None	None	None
16	struct	15	b	None	None	sub	None	None	None	right
17	1	16	sub	None	None	None	None	None	None	None
18	<eos>	17	1	None	None	None	None	None	None	None
19	+	16	right	None	None	None	None	None	None	None
20	a	19	+	None	None	None	None	None	None	None
21	struct	20	a	None	None	sub	None	None	None	right
22	3	21	sub	None	None	None	None	None	None	None
23	<eos>	22	3	None	None	None	None	None	None	None
24	b	21	right	None	None	None	None	None	None	None
25	struct	24	b	None	None	sub	None	None	None	right
26	4	25	sub	None	None	None	None	None	None	None
27	<eos>	26	4	None	None	None	None	None	None	None
28	-	25	right	None	None	None	None	None	None	None
29	a	28	-	None	None	None	None	None	None	None
30	struct	29	a	None	None	sub	None	None	None	right
31	4	30	sub	None	None	None	None	None	None	None
32	<eos>	31	4	None	None	None	None	None	None	None
33	b	30	right	None	None	None	None	None	None	None
34	struct	33	b	None	None	sub	None	None	None	right
35	3	34	sub	None	None	None	None	None	None	None
36	<eos>	35	3	None	None	None	None	None	None	None
37	)	34	right	None	None	None	None	None	None	None
38	struct	37	)	None	None	None	sup	None	None	None
39	2	38	sup	None	None	None	None	None	None	None
40	<eos>	39	2	None	None	None	None	None	None	None
