1	a	0	<sos>	None	None	None	None	None	None	None
2	struct	1	a	None	None	None	sup	None	None	right
3	n	2	sup	None	None	None	None	None	None	None
4	<eos>	3	n	None	None	None	None	None	None	None
5	b	2	right	None	None	None	None	None	None	None
6	struct	5	b	None	None	None	sup	None	None	right
7	n	6	sup	None	None	None	None	None	None	None
8	<eos>	7	n	None	None	None	None	None	None	None
9	c	6	right	None	None	None	None	None	None	None
10	struct	9	c	None	None	None	sup	None	None	right
11	n	10	sup	None	None	None	None	None	None	None
12	<eos>	11	n	None	None	None	None	None	None	None
13	d	10	right	None	None	None	None	None	None	None
14	struct	13	d	None	None	None	sup	None	None	None
15	n	14	sup	None	None	None	None	None	None	None
16	<eos>	15	n	None	None	None	None	None	None	None
