1	6	0	<sos>	None	None	None	None	None	None	None
2	struct	1	6	None	None	None	sup	None	None	right
3	3	2	sup	None	None	None	None	None	None	None
4	<eos>	3	3	None	None	None	None	None	None	None
5	+	2	right	None	None	None	None	None	None	None
6	(	5	+	None	None	None	None	None	None	None
7	-	6	(	None	None	None	None	None	None	None
8	3	7	-	None	None	None	None	None	None	None
9	)	8	3	None	None	None	None	None	None	None
10	struct	9	)	None	None	None	sup	None	None	right
11	3	10	sup	None	None	None	None	None	None	None
12	<eos>	11	3	None	None	None	None	None	None	None
13	=	10	right	None	None	None	None	None	None	None
14	4	13	=	None	None	None	None	None	None	None
15	struct	14	4	None	None	None	sup	None	None	right
16	3	15	sup	None	None	None	None	None	None	None
17	<eos>	16	3	None	None	None	None	None	None	None
18	+	15	right	None	None	None	None	None	None	None
19	5	18	+	None	None	None	None	None	None	None
20	struct	19	5	None	None	None	sup	None	None	None
21	3	20	sup	None	None	None	None	None	None	None
22	<eos>	21	3	None	None	None	None	None	None	None
