1	1	0	<sos>	None	None	None	None	None	None	None
2	struct	1	1	None	None	None	sup	None	None	right
3	3	2	sup	None	None	None	None	None	None	None
4	<eos>	3	3	None	None	None	None	None	None	None
5	+	2	right	None	None	None	None	None	None	None
6	2	5	+	None	None	None	None	None	None	None
7	struct	6	2	None	None	None	sup	None	None	right
8	3	7	sup	None	None	None	None	None	None	None
9	<eos>	8	3	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	3	10	+	None	None	None	None	None	None	None
12	struct	11	3	None	None	None	sup	None	None	right
13	3	12	sup	None	None	None	None	None	None	None
14	<eos>	13	3	None	None	None	None	None	None	None
15	+	12	right	None	None	None	None	None	None	None
16	\ldots	15	+	None	None	None	None	None	None	None
17	+	16	\ldots	None	None	None	None	None	None	None
18	x	17	+	None	None	None	None	None	None	None
19	struct	18	x	None	None	None	sup	None	None	right
20	3	19	sup	None	None	None	None	None	None	None
21	<eos>	20	3	None	None	None	None	None	None	None
22	=	19	right	None	None	None	None	None	None	None
23	y	22	=	None	None	None	None	None	None	None
24	struct	23	y	None	None	None	sup	None	None	None
25	2	24	sup	None	None	None	None	None	None	None
26	<eos>	25	2	None	None	None	None	None	None	None
