1	x	0	<sos>	None	None	None	None	None	None	None
2	=	1	x	None	None	None	None	None	None	None
3	a	2	=	None	None	None	None	None	None	None
4	struct	3	a	None	None	sub	None	None	None	right
5	0	4	sub	None	None	None	None	None	None	None
6	<eos>	5	0	None	None	None	None	None	None	None
7	+	4	right	None	None	None	None	None	None	None
8	\frac	7	+	None	None	None	None	None	None	None
9	struct	8	\frac	above	below	None	None	None	None	None
10	1	9	above	None	None	None	None	None	None	None
11	<eos>	10	1	None	None	None	None	None	None	None
12	a	9	below	None	None	None	None	None	None	None
13	struct	12	a	None	None	sub	None	None	None	right
14	1	13	sub	None	None	None	None	None	None	None
15	<eos>	14	1	None	None	None	None	None	None	None
16	+	13	right	None	None	None	None	None	None	None
17	\frac	16	+	None	None	None	None	None	None	None
18	struct	17	\frac	above	below	None	None	None	None	None
19	1	18	above	None	None	None	None	None	None	None
20	<eos>	19	1	None	None	None	None	None	None	None
21	a	18	below	None	None	None	None	None	None	None
22	struct	21	a	None	None	sub	None	None	None	right
23	2	22	sub	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
25	+	22	right	None	None	None	None	None	None	None
26	\frac	25	+	None	None	None	None	None	None	None
27	struct	26	\frac	above	below	None	None	None	None	None
28	1	27	above	None	None	None	None	None	None	None
29	<eos>	28	1	None	None	None	None	None	None	None
30	a	27	below	None	None	None	None	None	None	None
31	struct	30	a	None	None	sub	None	None	None	None
32	3	31	sub	None	None	None	None	None	None	None
33	<eos>	32	3	None	None	None	None	None	None	None
