1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	None
3	(	2	above	None	None	None	None	None	None	None
4	2	3	(	None	None	None	None	None	None	None
5	d	4	2	None	None	None	None	None	None	None
6	struct	5	d	None	None	sub	None	None	None	right
7	1	6	sub	None	None	None	None	None	None	None
8	<eos>	7	1	None	None	None	None	None	None	None
9	+	6	right	None	None	None	None	None	None	None
10	d	9	+	None	None	None	None	None	None	None
11	struct	10	d	None	None	sub	None	None	None	right
12	2	11	sub	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	-	11	right	None	None	None	None	None	None	None
15	2	14	-	None	None	None	None	None	None	None
16	)	15	2	None	None	None	None	None	None	None
17	\sqrt	16	)	None	None	None	None	None	None	None
18	struct	17	\sqrt	None	None	None	None	None	inside	None
19	8	18	inside	None	None	None	None	None	None	None
20	(	19	8	None	None	None	None	None	None	None
21	d	20	(	None	None	None	None	None	None	None
22	struct	21	d	None	None	sub	None	None	None	right
23	2	22	sub	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
25	-	22	right	None	None	None	None	None	None	None
26	4	25	-	None	None	None	None	None	None	None
27	)	26	4	None	None	None	None	None	None	None
28	<eos>	27	)	None	None	None	None	None	None	None
29	(	2	below	None	None	None	None	None	None	None
30	d	29	(	None	None	None	None	None	None	None
31	struct	30	d	None	None	sub	None	None	None	right
32	2	31	sub	None	None	None	None	None	None	None
33	<eos>	32	2	None	None	None	None	None	None	None
34	-	31	right	None	None	None	None	None	None	None
35	6	34	-	None	None	None	None	None	None	None
36	)	35	6	None	None	None	None	None	None	None
37	\sqrt	36	)	None	None	None	None	None	None	None
38	struct	37	\sqrt	None	None	None	None	None	inside	None
39	d	38	inside	None	None	None	None	None	None	None
40	struct	39	d	None	None	sub	None	None	None	right
41	1	40	sub	None	None	None	None	None	None	None
42	<eos>	41	1	None	None	None	None	None	None	None
43	(	40	right	None	None	None	None	None	None	None
44	d	43	(	None	None	None	None	None	None	None
45	struct	44	d	None	None	sub	None	None	None	right
46	1	45	sub	None	None	None	None	None	None	None
47	<eos>	46	1	None	None	None	None	None	None	None
48	+	45	right	None	None	None	None	None	None	None
49	d	48	+	None	None	None	None	None	None	None
50	struct	49	d	None	None	sub	None	None	None	right
51	2	50	sub	None	None	None	None	None	None	None
52	<eos>	51	2	None	None	None	None	None	None	None
53	-	50	right	None	None	None	None	None	None	None
54	2	53	-	None	None	None	None	None	None	None
55	)	54	2	None	None	None	None	None	None	None
56	<eos>	55	)	None	None	None	None	None	None	None
