1	a	0	<sos>	None	None	None	None	None	None	None
2	=	1	a	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	None
5	f	4	above	None	None	None	None	None	None	None
6	(	5	f	None	None	None	None	None	None	None
7	x	6	(	None	None	None	None	None	None	None
8	struct	7	x	None	None	sub	None	None	None	right
9	1	8	sub	None	None	None	None	None	None	None
10	<eos>	9	1	None	None	None	None	None	None	None
11	)	8	right	None	None	None	None	None	None	None
12	-	11	)	None	None	None	None	None	None	None
13	f	12	-	None	None	None	None	None	None	None
14	(	13	f	None	None	None	None	None	None	None
15	x	14	(	None	None	None	None	None	None	None
16	struct	15	x	None	None	sub	None	None	None	right
17	2	16	sub	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	)	16	right	None	None	None	None	None	None	None
20	<eos>	19	)	None	None	None	None	None	None	None
21	x	4	below	None	None	None	None	None	None	None
22	struct	21	x	None	None	sub	None	None	None	right
23	1	22	sub	None	None	None	None	None	None	None
24	<eos>	23	1	None	None	None	None	None	None	None
25	-	22	right	None	None	None	None	None	None	None
26	x	25	-	None	None	None	None	None	None	None
27	struct	26	x	None	None	sub	None	None	None	None
28	2	27	sub	None	None	None	None	None	None	None
29	<eos>	28	2	None	None	None	None	None	None	None
