1	(	0	<sos>	None	None	None	None	None	None	None
2	x	1	(	None	None	None	None	None	None	None
3	+	2	x	None	None	None	None	None	None	None
4	y	3	+	None	None	None	None	None	None	None
5	)	4	y	None	None	None	None	None	None	None
6	struct	5	)	None	None	None	sup	None	None	right
7	2	6	sup	None	None	None	None	None	None	None
8	<eos>	7	2	None	None	None	None	None	None	None
9	=	6	right	None	None	None	None	None	None	None
10	x	9	=	None	None	None	None	None	None	None
11	struct	10	x	None	None	None	sup	None	None	right
12	2	11	sup	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	+	11	right	None	None	None	None	None	None	None
15	y	14	+	None	None	None	None	None	None	None
16	struct	15	y	None	None	None	sup	None	None	right
17	2	16	sup	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	+	16	right	None	None	None	None	None	None	None
20	2	19	+	None	None	None	None	None	None	None
21	x	20	2	None	None	None	None	None	None	None
22	y	21	x	None	None	None	None	None	None	None
23	<eos>	22	y	None	None	None	None	None	None	None
