1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	r	2	(	None	None	None	None	None	None	None
4	,	3	r	None	None	None	None	None	None	None
5	\theta	4	,	None	None	None	None	None	None	None
6	)	5	\theta	None	None	None	None	None	None	None
7	=	6	)	None	None	None	None	None	None	None
8	r	7	=	None	None	None	None	None	None	None
9	struct	8	r	None	None	None	sup	None	None	right
10	2	9	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	(	9	right	None	None	None	None	None	None	None
13	\cos	12	(	None	None	None	None	None	None	None
14	\theta	13	\cos	None	None	None	None	None	None	None
15	struct	14	\theta	None	None	None	sup	None	None	right
16	2	15	sup	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	+	15	right	None	None	None	None	None	None	None
19	\sin	18	+	None	None	None	None	None	None	None
20	\theta	19	\sin	None	None	None	None	None	None	None
21	struct	20	\theta	None	None	None	sup	None	None	right
22	2	21	sup	None	None	None	None	None	None	None
23	<eos>	22	2	None	None	None	None	None	None	None
24	)	21	right	None	None	None	None	None	None	None
25	=	24	)	None	None	None	None	None	None	None
26	r	25	=	None	None	None	None	None	None	None
27	struct	26	r	None	None	None	sup	None	None	None
28	2	27	sup	None	None	None	None	None	None	None
29	<eos>	28	2	None	None	None	None	None	None	None
