1	3	0	<sos>	None	None	None	None	None	None	None
2	=	1	3	None	None	None	None	None	None	None
3	\sqrt	2	=	None	None	None	None	None	None	None
4	struct	3	\sqrt	None	None	None	None	None	inside	None
5	6	4	inside	None	None	None	None	None	None	None
6	+	5	6	None	None	None	None	None	None	None
7	\sqrt	6	+	None	None	None	None	None	None	None
8	struct	7	\sqrt	None	None	None	None	None	inside	None
9	6	8	inside	None	None	None	None	None	None	None
10	+	9	6	None	None	None	None	None	None	None
11	\sqrt	10	+	None	None	None	None	None	None	None
12	struct	11	\sqrt	None	None	None	None	None	inside	None
13	6	12	inside	None	None	None	None	None	None	None
14	+	13	6	None	None	None	None	None	None	None
15	\sqrt	14	+	None	None	None	None	None	None	None
16	struct	15	\sqrt	None	None	None	None	None	inside	None
17	6	16	inside	None	None	None	None	None	None	None
18	+	17	6	None	None	None	None	None	None	None
19	\ldots	18	+	None	None	None	None	None	None	None
20	<eos>	19	\ldots	None	None	None	None	None	None	None
