1	a	0	<sos>	None	None	None	None	None	None	None
2	struct	1	a	None	None	sub	None	None	None	right
3	2	2	sub	None	None	None	None	None	None	None
4	<eos>	3	2	None	None	None	None	None	None	None
5	x	2	right	None	None	None	None	None	None	None
6	struct	5	x	None	None	None	sup	None	None	right
7	2	6	sup	None	None	None	None	None	None	None
8	<eos>	7	2	None	None	None	None	None	None	None
9	+	6	right	None	None	None	None	None	None	None
10	b	9	+	None	None	None	None	None	None	None
11	struct	10	b	None	None	sub	None	None	None	right
12	2	11	sub	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	x	11	right	None	None	None	None	None	None	None
15	+	14	x	None	None	None	None	None	None	None
16	c	15	+	None	None	None	None	None	None	None
17	struct	16	c	None	None	sub	None	None	None	None
18	2	17	sub	None	None	None	None	None	None	None
19	<eos>	18	2	None	None	None	None	None	None	None
