1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	\frac	5	=	None	None	None	None	None	None	None
7	struct	6	\frac	above	below	None	None	None	None	right
8	x	7	above	None	None	None	None	None	None	None
9	struct	8	x	None	None	None	sup	None	None	right
10	2	9	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	-	9	right	None	None	None	None	None	None	None
13	4	12	-	None	None	None	None	None	None	None
14	<eos>	13	4	None	None	None	None	None	None	None
15	4	7	below	None	None	None	None	None	None	None
16	x	15	4	None	None	None	None	None	None	None
17	struct	16	x	None	None	None	sup	None	None	None
18	2	17	sup	None	None	None	None	None	None	None
19	<eos>	18	2	None	None	None	None	None	None	None
20	\frac	7	right	None	None	None	None	None	None	None
21	struct	20	\frac	above	below	None	None	None	None	right
22	1	21	above	None	None	None	None	None	None	None
23	<eos>	22	1	None	None	None	None	None	None	None
24	x	21	below	None	None	None	None	None	None	None
25	-	24	x	None	None	None	None	None	None	None
26	2	25	-	None	None	None	None	None	None	None
27	<eos>	26	2	None	None	None	None	None	None	None
28	=	21	right	None	None	None	None	None	None	None
29	\frac	28	=	None	None	None	None	None	None	None
30	struct	29	\frac	above	below	None	None	None	None	None
31	x	30	above	None	None	None	None	None	None	None
32	+	31	x	None	None	None	None	None	None	None
33	2	32	+	None	None	None	None	None	None	None
34	<eos>	33	2	None	None	None	None	None	None	None
35	4	30	below	None	None	None	None	None	None	None
36	x	35	4	None	None	None	None	None	None	None
37	struct	36	x	None	None	None	sup	None	None	None
38	2	37	sup	None	None	None	None	None	None	None
39	<eos>	38	2	None	None	None	None	None	None	None
