1	x	0	<sos>	None	None	None	None	None	None	None
2	=	1	x	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	z	4	above	None	None	None	None	None	None	None
6	-	5	z	None	None	None	None	None	None	None
7	3	6	-	None	None	None	None	None	None	None
8	<eos>	7	3	None	None	None	None	None	None	None
9	-	4	below	None	None	None	None	None	None	None
10	z	9	-	None	None	None	None	None	None	None
11	-	10	z	None	None	None	None	None	None	None
12	3	11	-	None	None	None	None	None	None	None
13	<eos>	12	3	None	None	None	None	None	None	None
14	=	4	right	None	None	None	None	None	None	None
15	\frac	14	=	None	None	None	None	None	None	None
16	struct	15	\frac	above	below	None	None	None	None	None
17	3	16	above	None	None	None	None	None	None	None
18	-	17	3	None	None	None	None	None	None	None
19	z	18	-	None	None	None	None	None	None	None
20	<eos>	19	z	None	None	None	None	None	None	None
21	3	16	below	None	None	None	None	None	None	None
22	+	21	3	None	None	None	None	None	None	None
23	z	22	+	None	None	None	None	None	None	None
24	<eos>	23	z	None	None	None	None	None	None	None
