1	4	0	<sos>	None	None	None	None	None	None	None
2	6	1	4	None	None	None	None	None	None	None
3	\pm	2	6	None	None	None	None	None	None	None
4	(	3	\pm	None	None	None	None	None	None	None
5	(	4	(	None	None	None	None	None	None	None
6	9	5	(	None	None	None	None	None	None	None
7	5	6	9	None	None	None	None	None	None	None
8	/	7	5	None	None	None	None	None	None	None
9	7	8	/	None	None	None	None	None	None	None
10	9	9	7	None	None	None	None	None	None	None
11	)	10	9	None	None	None	None	None	None	None
12	/	11	)	None	None	None	None	None	None	None
13	7	12	/	None	None	None	None	None	None	None
14	5	13	7	None	None	None	None	None	None	None
15	)	14	5	None	None	None	None	None	None	None
16	+	15	)	None	None	None	None	None	None	None
17	(	16	+	None	None	None	None	None	None	None
18	5	17	(	None	None	None	None	None	None	None
19	5	18	5	None	None	None	None	None	None	None
20	/	19	5	None	None	None	None	None	None	None
21	6	20	/	None	None	None	None	None	None	None
22	5	21	6	None	None	None	None	None	None	None
23	)	22	5	None	None	None	None	None	None	None
24	<eos>	23	)	None	None	None	None	None	None	None
