1	r	0	<sos>	None	None	None	None	None	None	None
2	struct	1	r	None	None	sub	None	None	None	right
3	s	2	sub	None	None	None	None	None	None	None
4	<eos>	3	s	None	None	None	None	None	None	None
5	(	2	right	None	None	None	None	None	None	None
6	t	5	(	None	None	None	None	None	None	None
7	)	6	t	None	None	None	None	None	None	None
8	=	7	)	None	None	None	None	None	None	None
9	\sqrt	8	=	None	None	None	None	None	None	None
10	struct	9	\sqrt	None	None	None	None	None	inside	None
11	(	10	inside	None	None	None	None	None	None	None
12	x	11	(	None	None	None	None	None	None	None
13	-	12	x	None	None	None	None	None	None	None
14	x	13	-	None	None	None	None	None	None	None
15	struct	14	x	None	None	sub	None	None	None	right
16	s	15	sub	None	None	None	None	None	None	None
17	<eos>	16	s	None	None	None	None	None	None	None
18	(	15	right	None	None	None	None	None	None	None
19	t	18	(	None	None	None	None	None	None	None
20	)	19	t	None	None	None	None	None	None	None
21	)	20	)	None	None	None	None	None	None	None
22	struct	21	)	None	None	None	sup	None	None	right
23	2	22	sup	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
25	+	22	right	None	None	None	None	None	None	None
26	y	25	+	None	None	None	None	None	None	None
27	struct	26	y	None	None	None	sup	None	None	right
28	2	27	sup	None	None	None	None	None	None	None
29	<eos>	28	2	None	None	None	None	None	None	None
30	+	27	right	None	None	None	None	None	None	None
31	z	30	+	None	None	None	None	None	None	None
32	struct	31	z	None	None	None	sup	None	None	None
33	2	32	sup	None	None	None	None	None	None	None
34	<eos>	33	2	None	None	None	None	None	None	None
