1	6	0	<sos>	None	None	None	None	None	None	None
2	=	1	6	None	None	None	None	None	None	None
3	1	2	=	None	None	None	None	None	None	None
4	struct	3	1	None	None	None	sup	None	None	right
5	2	4	sup	None	None	None	None	None	None	None
6	<eos>	5	2	None	None	None	None	None	None	None
7	+	4	right	None	None	None	None	None	None	None
8	1	7	+	None	None	None	None	None	None	None
9	struct	8	1	None	None	None	sup	None	None	right
10	2	9	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	+	9	right	None	None	None	None	None	None	None
13	2	12	+	None	None	None	None	None	None	None
14	struct	13	2	None	None	None	sup	None	None	None
15	2	14	sup	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
