1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	right
3	3	2	above	None	None	None	None	None	None	None
4	h	3	3	None	None	None	None	None	None	None
5	<eos>	4	h	None	None	None	None	None	None	None
6	8	2	below	None	None	None	None	None	None	None
7	<eos>	6	8	None	None	None	None	None	None	None
8	(	2	right	None	None	None	None	None	None	None
9	f	8	(	None	None	None	None	None	None	None
10	struct	9	f	None	None	sub	None	None	None	right
11	0	10	sub	None	None	None	None	None	None	None
12	<eos>	11	0	None	None	None	None	None	None	None
13	+	10	right	None	None	None	None	None	None	None
14	3	13	+	None	None	None	None	None	None	None
15	f	14	3	None	None	None	None	None	None	None
16	struct	15	f	None	None	sub	None	None	None	right
17	1	16	sub	None	None	None	None	None	None	None
18	<eos>	17	1	None	None	None	None	None	None	None
19	+	16	right	None	None	None	None	None	None	None
20	3	19	+	None	None	None	None	None	None	None
21	f	20	3	None	None	None	None	None	None	None
22	struct	21	f	None	None	sub	None	None	None	right
23	2	22	sub	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
25	+	22	right	None	None	None	None	None	None	None
26	f	25	+	None	None	None	None	None	None	None
27	struct	26	f	None	None	sub	None	None	None	right
28	3	27	sub	None	None	None	None	None	None	None
29	<eos>	28	3	None	None	None	None	None	None	None
30	)	27	right	None	None	None	None	None	None	None
31	<eos>	30	)	None	None	None	None	None	None	None
