1	1	0	<sos>	None	None	None	None	None	None	None
2	0	1	1	None	None	None	None	None	None	None
3	a	2	0	None	None	None	None	None	None	None
4	struct	3	a	None	None	sub	None	None	None	right
5	5	4	sub	None	None	None	None	None	None	None
6	<eos>	5	5	None	None	None	None	None	None	None
7	a	4	right	None	None	None	None	None	None	None
8	struct	7	a	None	None	sub	None	None	None	right
9	2	8	sub	None	None	None	None	None	None	None
10	<eos>	9	2	None	None	None	None	None	None	None
11	-	8	right	None	None	None	None	None	None	None
12	2	11	-	None	None	None	None	None	None	None
13	a	12	2	None	None	None	None	None	None	None
14	struct	13	a	None	None	sub	None	None	None	right
15	4	14	sub	None	None	None	None	None	None	None
16	<eos>	15	4	None	None	None	None	None	None	None
17	a	14	right	None	None	None	None	None	None	None
18	struct	17	a	None	None	sub	None	None	None	right
19	3	18	sub	None	None	None	None	None	None	None
20	<eos>	19	3	None	None	None	None	None	None	None
21	=	18	right	None	None	None	None	None	None	None
22	0	21	=	None	None	None	None	None	None	None
23	<eos>	22	0	None	None	None	None	None	None	None
