1	0	0	<sos>	None	None	None	None	None	None	None
2	X	1	0	None	None	None	None	None	None	None
3	struct	2	X	None	None	None	sup	None	None	right
4	3	3	sup	None	None	None	None	None	None	None
5	<eos>	4	3	None	None	None	None	None	None	None
6	+	3	right	None	None	None	None	None	None	None
7	a	6	+	None	None	None	None	None	None	None
8	struct	7	a	None	None	sub	None	None	None	right
9	3	8	sub	None	None	None	None	None	None	None
10	<eos>	9	3	None	None	None	None	None	None	None
11	X	8	right	None	None	None	None	None	None	None
12	struct	11	X	None	None	None	sup	None	None	right
13	2	12	sup	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	+	12	right	None	None	None	None	None	None	None
16	(	15	+	None	None	None	None	None	None	None
17	a	16	(	None	None	None	None	None	None	None
18	struct	17	a	None	None	sub	None	None	None	right
19	2	18	sub	None	None	None	None	None	None	None
20	<eos>	19	2	None	None	None	None	None	None	None
21	+	18	right	None	None	None	None	None	None	None
22	a	21	+	None	None	None	None	None	None	None
23	struct	22	a	None	None	sub	None	None	None	right
24	3	23	sub	None	None	None	None	None	None	None
25	<eos>	24	3	None	None	None	None	None	None	None
26	)	23	right	None	None	None	None	None	None	None
27	X	26	)	None	None	None	None	None	None	None
28	+	27	X	None	None	None	None	None	None	None
29	(	28	+	None	None	None	None	None	None	None
30	a	29	(	None	None	None	None	None	None	None
31	struct	30	a	None	None	sub	None	None	None	right
32	1	31	sub	None	None	None	None	None	None	None
33	<eos>	32	1	None	None	None	None	None	None	None
34	+	31	right	None	None	None	None	None	None	None
35	a	34	+	None	None	None	None	None	None	None
36	struct	35	a	None	None	sub	None	None	None	right
37	2	36	sub	None	None	None	None	None	None	None
38	<eos>	37	2	None	None	None	None	None	None	None
39	+	36	right	None	None	None	None	None	None	None
40	a	39	+	None	None	None	None	None	None	None
41	struct	40	a	None	None	sub	None	None	None	right
42	3	41	sub	None	None	None	None	None	None	None
43	<eos>	42	3	None	None	None	None	None	None	None
44	)	41	right	None	None	None	None	None	None	None
45	<eos>	44	)	None	None	None	None	None	None	None
